,expression,reading,meaning
0,ああ,ああ,"Ah!, Oh!"
1,会う,あう,"to meet, to see"
2,青,あお,blue
3,青い,あおい,blue
4,赤,あか,red
5,赤い,あかい,red
6,明るい,あかるい,bright (in reference to personality or weather); cheerful
7,秋,あき,fall (season)
8,開く,あく,"to open, to become open"
9,開ける,あける,to open (v.t.)
10,上げる,あげる,"to raise, to lift"
11,朝,あさ,morning
12,朝御飯,あさごはん,breakfast
13,明後日,あさって,day after tomorrow
14,足; 脚,あし,foot; leg
15,明日,あした,tomorrow
16,あそこ,あそこ,"there, over there, that place"
17,遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out
18,暖かい,あたたかい,warm
19,頭,あたま,head
20,新しい,あたらしい,new
21,あちら,あちら,this way (polite)
22,暑い,あつい,"hot (in reference to weather), warm"
23,熱い,あつい,hot (objects)
24,厚い,あつい,"kind, warm(hearted), thick, deep"
25,あっち,あっち,over there
26,後,あと,afterwards (later); in the future; the rest; since then
27,あなた,あなた,you
28,兄,あに,(my) older brother (humble)
29,姉,あね,(my) older sister (humble)
30,アパート,アパート,apartment (abbr.)
31,あの,あの,"that over there; like that, that way; um..."
32,浴びる,あびる,"to bathe, to shower"
33,危ない,あぶない,"dangerous, critical"
34,甘い,あまい,"generous, sweet"
35,余り,あまり,not very; surplus
36,雨,あめ,rain
37,飴,あめ,(hard) candy
38,洗う,あらう,to wash
39,在る,ある,"to be, to have"
40,有る,ある,"to be, to have"
41,歩く,あるく,to walk
42,あれ,あれ,that one (over there)
43,いい; よい,いい; よい,good
44,いいえ,いいえ,"no, not at all"
45,言う,いう,to say
46,家,いえ,"house, home"
47,いかが,いかが,"how, in what way"
48,行く,いく; ゆく,to go
49,いくつ,いくつ,"how many, how old"
50,いくら,いくら,"how much, how many"
51,池,いけ,pond
52,医者,いしゃ,doctor; physician
53,椅子,いす,chair
54,忙しい,いそがしい,"busy (people, days)"
55,痛い,いたい,hurt; painful; sore
56,一,いち,one
57,一日,いちにち,one day (duration)
58,一番,いちばん,"best (most), first, number one"
59,いつ,いつ,when
60,五日,いつか,five days; fifth day of the month
61,一緒,いっしょ,together
62,五つ,いつつ,five things
63,いつも,いつも,"always, usually, every time, never (with neg. verb)"
64,犬,いぬ,dog
65,今,いま,now
66,意味,いみ,"meaning, significance"
67,妹,いもうと,younger sister (humble)
